
     #     w [eV]  Transition dipole (x,y,z) [Debye]

 ============================================================

     1      2.329   -1.227091E-01  3.546267E-01  5.683276E-02
     2      2.530   -2.254275E-01  1.292544E-02 -8.784764E-02
     3      2.611    2.100091E+00  3.068618E-03  8.586727E-01
     4      3.009   -2.989166E-01  1.644811E-01 -1.074809E-01
     5      3.034    1.896409E-01 -3.776068E-02  7.225423E-02
     6      3.237    5.630023E-02  1.096433E-02  2.476851E-02
     7      3.305    8.300604E-02 -9.122114E-02  7.019842E-02
     8      3.362   -3.152231E-01 -8.487962E-02 -1.065662E-02
     9      3.486    2.026900E+00 -3.894620E+00 -3.271725E-01
    10      3.529   -8.128864E-01  1.591181E+00  1.705672E-01
